age,annual_income,credit_score,loan_amount,loan_term_months,employment_years,debt_to_income,existing_loans,savings_balance,home_ownership,education,marital_status,dependents,purpose,loan_approved
25,76567.0,657.0,27059.0,60,4.0,0.269,1,7423.0,Mortgage,High School,Single,0,Debt Consolidation,0
55,79738.0,706.0,23960.0,60,18.7,0.309,1,14966.0,Rent,High School,Divorced,2,Car,1
50,70792.0,724.0,20191.0,60,17.6,0.118,1,36633.0,Rent,Bachelor,Married,0,Home Improvement,0
40,31469.0,670.0,3000.0,36,,0.064,4,7376.0,Rent,,Single,0,Car,0
40,20456.0,790.0,5201.0,60,12.9,0.311,1,2632.0,Mortgage,High School,Single,0,Car,0
59,,753.0,10380.0,48,29.1,0.476,1,3313.0,Own,Bachelor,Single,0,Debt Consolidation,0
24,49436.0,662.0,22774.0,60,0.2,0.265,0,12793.0,Other,Bachelor,Married,0,Car,1
52,77296.0,734.0,5176.0,24,24.5,0.083,1,12766.0,Rent,Master,Single,0,Medical,1
30,86840.0,819.0,29097.0,60,7.4,0.281,1,20058.0,Rent,Bachelor,Divorced,1,Debt Consolidation,0
25,66254.0,821.0,40796.0,72,1.0,0.156,3,5504.0,Rent,Bachelor,Single,0,Car,1
44,89300.0,592.0,54372.0,36,17.1,0.313,0,8424.0,Other,Bachelor,Single,0,Debt Consolidation,0
64,69211.0,613.0,54113.0,72,25.3,0.426,0,6193.0,Own,Bachelor,Single,0,Home Improvement,1
54,79963.0,787.0,24305.0,36,28.4,0.217,0,35374.0,Mortgage,High School,Married,0,Debt Consolidation,0
55,44207.0,604.0,19491.0,24,25.6,0.41,1,4381.0,Mortgage,High School,Married,0,Debt Consolidation,0
53,56879.0,,10707.0,24,12.8,0.146,0,19872.0,Mortgage,Doctorate,Divorced,2,Debt Consolidation,0
56,68142.0,645.0,,60,21.4,0.32,0,12363.0,Rent,Master,Single,0,Home Improvement,1
44,91926.0,710.0,12313.0,48,14.5,0.246,1,28559.0,Rent,High School,Single,1,Debt Consolidation,0
26,51323.0,673.0,32609.0,36,2.3,0.191,1,4193.0,Rent,Bachelor,Married,0,Medical,0
58,79622.0,633.0,30785.0,48,18.6,0.163,0,33811.0,Rent,Bachelor,Married,4,Home Improvement,0
41,54573.0,631.0,24937.0,36,15.8,0.12,1,5755.0,Mortgage,High School,Married,1,Car,0
43,58599.0,629.0,16213.0,36,6.7,0.127,3,16890.0,Rent,,Married,2,,0
37,92324.0,617.0,36862.0,60,8.0,0.341,2,22977.0,Mortgage,Doctorate,Married,0,Home Improvement,0
29,23819.0,830.0,3000.0,48,8.8,0.271,2,0.0,Mortgage,Bachelor,Single,1,Home Improvement,0
62,33276.0,701.0,16220.0,60,20.1,0.212,0,7509.0,Mortgage,High School,Divorced,1,Business,0
56,30438.0,744.0,3000.0,48,18.2,0.172,1,7743.0,Other,Master,Single,1,Business,0
49,20227.0,645.0,25307.0,72,21.1,0.315,0,12687.0,Rent,Bachelor,Married,1,,0
39,44771.0,667.0,20726.0,36,12.3,0.104,1,8114.0,Mortgage,Bachelor,Single,0,Business,0
58,88842.0,,3000.0,36,16.5,0.038,2,11601.0,Rent,Bachelor,Married,1,Debt Consolidation,0
45,54076.0,489.0,16805.0,24,10.1,0.273,1,13471.0,Mortgage,High School,Married,0,Education,0
40,68175.0,,13985.0,48,14.2,0.232,0,,Mortgage,High School,Divorced,1,Business,0
41,104581.0,550.0,35011.0,48,10.5,0.195,4,23285.0,Rent,Doctorate,Married,2,Debt Consolidation,0
31,117264.0,518.0,36420.0,60,4.5,0.194,3,23311.0,Rent,Bachelor,Married,4,Medical,0
25,59976.0,594.0,31338.0,36,1.0,0.236,0,18482.0,Mortgage,Master,Married,1,Car,0
45,118730.0,775.0,23796.0,12,14.9,0.133,1,,Mortgage,High School,Married,0,Home Improvement,0
60,64803.0,677.0,25581.0,48,31.7,0.427,2,10423.0,Mortgage,Master,Married,1,Business,0
23,41479.0,773.0,22449.0,72,0.0,0.113,1,16306.0,Mortgage,Bachelor,Single,1,Car,1
59,46610.0,710.0,29297.0,36,28.2,0.205,1,18387.0,Mortgage,Bachelor,Married,1,Car,0
58,30462.0,736.0,7203.0,24,17.5,0.51,1,1477.0,Mortgage,Bachelor,Single,0,Home Improvement,0
33,40481.0,615.0,3253.0,36,10.4,0.318,1,10303.0,Rent,Bachelor,Married,0,Education,0
49,52211.0,718.0,30569.0,36,16.8,0.273,0,27222.0,Mortgage,High School,Single,3,Home Improvement,0
28,91182.0,732.0,3000.0,36,4.4,0.258,1,37525.0,,High School,Married,3,Business,0
55,141614.0,638.0,77466.0,36,13.4,0.219,1,32314.0,Own,Master,Married,1,Education,0
52,31935.0,720.0,19882.0,48,21.5,0.375,1,4338.0,Mortgage,High School,Married,1,Business,0
36,74865.0,721.0,39539.0,36,7.2,0.213,4,17667.0,,High School,Divorced,2,Medical,0
24,37625.0,640.0,3000.0,36,0.9,0.147,1,0.0,Other,Master,Single,1,Education,0
64,77866.0,599.0,3249.0,12,32.9,0.143,2,6947.0,Own,High School,Married,2,Car,0
41,58219.0,595.0,3000.0,60,8.7,0.35,3,25058.0,Rent,Bachelor,Married,2,Home Improvement,0
61,25747.0,686.0,11985.0,36,18.4,0.134,0,6903.0,Own,Master,Married,2,Debt Consolidation,1
51,96807.0,,63519.0,36,8.0,0.367,1,13670.0,Rent,Master,Married,1,Debt Consolidation,0
56,,,8176.0,24,20.0,0.275,1,6439.0,Own,High School,Single,3,Education,0
55,,682.0,13159.0,48,16.5,0.174,1,0.0,Rent,,Married,0,Business,0
29,37101.0,721.0,8286.0,60,6.9,0.378,3,0.0,Mortgage,Bachelor,Single,2,Debt Consolidation,0
37,45290.0,725.0,6651.0,12,3.8,0.157,0,8976.0,Other,Bachelor,Married,0,Car,0
42,76136.0,792.0,11940.0,24,14.3,0.325,0,18894.0,Rent,Master,Married,2,Medical,1
43,56616.0,772.0,11877.0,24,11.7,0.35,2,,Own,Doctorate,Single,0,Debt Consolidation,0
22,72595.0,608.0,51822.0,48,0.0,0.239,3,7882.0,Mortgage,High School,Married,0,Debt Consolidation,0
45,73763.0,801.0,27541.0,72,12.2,0.529,1,10868.0,Rent,High School,Married,1,Car,0
27,116869.0,642.0,76937.0,36,3.8,0.187,0,11409.0,Other,Master,Married,2,Home Improvement,0
54,52594.0,755.0,28890.0,36,22.2,0.223,3,8785.0,Mortgage,Bachelor,Single,1,Education,1
51,30516.0,685.0,19750.0,60,19.2,0.316,1,9760.0,Own,Master,Married,1,Home Improvement,0
62,103482.0,650.0,73526.0,60,26.8,0.402,2,21561.0,Own,High School,Married,2,Car,0
54,52880.0,550.0,15001.0,36,25.0,0.467,2,8545.0,Rent,High School,Married,0,Medical,0
37,105862.0,668.0,79687.0,24,5.3,0.422,2,20868.0,,Bachelor,Married,1,Education,0
64,74527.0,568.0,44947.0,36,34.4,0.336,2,27067.0,Rent,Doctorate,Single,0,Car,0
39,58218.0,750.0,39213.0,60,11.0,0.466,3,13266.0,Mortgage,High School,Divorced,3,Medical,1
35,73299.0,789.0,37290.0,60,3.2,0.106,1,18746.0,Rent,Master,Single,0,Car,0
61,158162.0,623.0,106195.0,48,23.9,0.136,0,21096.0,Mortgage,Bachelor,Single,1,Home Improvement,0
37,168020.0,702.0,60267.0,60,6.3,0.083,3,7540.0,Own,High School,Married,2,Debt Consolidation,0
24,64100.0,628.0,43365.0,36,2.5,0.285,2,1039.0,Rent,,Married,0,,0
42,66955.0,635.0,31524.0,36,14.9,0.267,3,6179.0,Mortgage,High School,Married,0,Home Improvement,0
56,103931.0,736.0,68845.0,12,16.7,0.16,0,17924.0,Mortgage,Bachelor,Single,4,Debt Consolidation,0
29,41315.0,677.0,27874.0,60,5.9,0.308,1,4912.0,Rent,Bachelor,Single,2,Business,0
41,72748.0,805.0,54917.0,48,15.1,0.314,0,5808.0,Rent,Bachelor,Married,1,Medical,0
26,61235.0,645.0,43605.0,36,5.3,0.325,0,6947.0,Rent,High School,Single,1,Business,1
51,72082.0,752.0,37455.0,12,21.3,0.266,0,20550.0,Mortgage,Master,Married,3,Home Improvement,0
42,41559.0,687.0,,60,15.6,0.225,2,9551.0,Rent,Master,Married,0,Car,0
35,28909.0,737.0,6743.0,60,9.8,0.193,2,6590.0,Own,Bachelor,Single,1,Debt Consolidation,0
31,22922.0,,19709.0,48,2.9,0.15,0,12310.0,Own,Bachelor,Married,0,Education,0
46,36263.0,,26259.0,24,9.4,0.211,3,10309.0,Rent,Doctorate,Divorced,1,Home Improvement,0
51,49748.0,672.0,20525.0,60,16.3,0.096,3,5934.0,,High School,Married,2,Car,0
63,53861.0,620.0,23299.0,60,26.4,0.163,3,6130.0,Other,Master,Single,2,Car,0
40,157119.0,728.0,60005.0,48,10.1,0.324,1,31159.0,Rent,Bachelor,Married,0,Car,0
28,105426.0,727.0,22755.0,48,4.1,0.172,1,23714.0,Other,Master,Divorced,1,Car,0
58,39069.0,723.0,12644.0,60,16.0,0.116,2,10108.0,Rent,Bachelor,Married,2,Business,0
49,73261.0,791.0,24760.0,72,24.2,0.27,2,34197.0,Mortgage,Bachelor,Single,0,Home Improvement,1
52,,784.0,31696.0,48,15.0,0.264,4,7814.0,Rent,Bachelor,Single,1,Debt Consolidation,0
25,54089.0,653.0,49488.0,36,,0.224,0,34679.0,Own,High School,Married,0,Car,0
35,67768.0,707.0,33703.0,36,8.7,0.328,1,7829.0,Own,High School,Married,0,Home Improvement,0
55,83457.0,635.0,16784.0,60,15.5,0.292,0,5476.0,Other,Doctorate,Divorced,0,Business,0
58,52683.0,682.0,19658.0,48,,0.317,2,1877.0,Other,High School,Divorced,1,Car,0
40,103315.0,637.0,52912.0,12,6.3,0.246,1,18524.0,Rent,High School,Single,1,Home Improvement,0
57,35838.0,797.0,6621.0,24,15.3,0.139,0,5870.0,Mortgage,High School,Married,1,Debt Consolidation,0
58,62189.0,,13824.0,60,13.2,0.254,0,17029.0,Rent,Bachelor,Single,0,Car,0
38,,664.0,99272.0,60,10.1,0.179,0,18273.0,Rent,Bachelor,Single,3,Car,0
61,69007.0,766.0,18305.0,72,,0.147,3,4021.0,Rent,High School,Single,1,Business,1
33,,524.0,70485.0,36,12.1,0.297,1,7575.0,Own,Master,Divorced,1,Education,0
31,64784.0,,20719.0,60,2.8,0.404,2,21527.0,Mortgage,Master,Single,1,Debt Consolidation,0
51,81933.0,737.0,9978.0,60,9.2,0.208,2,2084.0,Rent,High School,Married,0,Car,0
49,60333.0,684.0,14130.0,36,11.1,0.193,2,,Other,Master,Married,0,Home Improvement,0
27,57131.0,698.0,24564.0,24,5.7,0.175,0,15075.0,Own,Bachelor,Single,0,,0
58,42648.0,584.0,29255.0,72,25.7,0.408,3,14144.0,Rent,Bachelor,Married,2,Debt Consolidation,0
29,76224.0,678.0,43568.0,12,7.5,0.082,2,26370.0,Mortgage,Master,Single,0,Home Improvement,0
57,41198.0,824.0,9510.0,48,24.0,0.344,4,1301.0,Mortgage,Master,Single,0,Business,0
