Applicant_ID,Age,Gender,Married,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term,Credit_History,Existing_Loans,Debt_to_Income_Ratio,Employment_Status,Property_Area,Loan_Eligibility
APP0001,24,Male,No,Graduate,No,54765.0,8000.0,289176.0,360,Poor,0.0,0.95,Salaried,Urban,NOT_ELIGIBLE
APP0002,51,Male,Yes,Graduate,No,24027.0,29665.0,232568.0,300,Good,0.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0003,47,Male,Yes,Not Graduate,No,30057.0,21005.0,277667.0,360,Good,3.0,0.95,Salaried,Urban,NOT_ELIGIBLE
APP0004,38,Male,Yes,Not Graduate,No,90957.0,6458.0,274707.0,240,Good,1.0,0.947,Unemployed,Urban,ELIGIBLE
APP0005,38,Male,Yes,Graduate,No,43968.0,28075.0,304510.0,360,Poor,1.0,0.95,Salaried,Urban,ELIGIBLE
APP0006,55,Male,No,Graduate,No,32301.0,15000.0,90305.0,180,Good,1.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0007,24,Female,No,Graduate,No,61404.0,8000.0,690634.0,360,Good,0.0,0.95,Contract,Semiurban,NOT_ELIGIBLE
APP0008,48,Female,Yes,Not Graduate,Yes,42802.0,52965.0,260888.0,240,Good,1.0,0.883,Self-Employed,Urban,NOT_ELIGIBLE
APP0009,29,Male,Yes,Not Graduate,No,43875.0,72039.0,369995.0,360,Good,0.0,0.761,Contract,Semiurban,ELIGIBLE
APP0010,24,Male,No,Not Graduate,No,78430.0,8000.0,144503.0,360,Poor,1.0,0.427,Self-Employed,Rural,NOT_ELIGIBLE
APP0011,42,Female,No,Graduate,No,31491.0,0.0,223343.0,360,,0.0,0.95,Self-Employed,Urban,ELIGIBLE
APP0012,60,Male,Yes,Graduate,No,35615.0,22618.0,202771.0,300,Good,0.0,0.95,Self-Employed,Urban,ELIGIBLE
APP0013,50,Male,Yes,Graduate,Yes,59222.0,70024.0,566942.0,300,Good,0.0,0.95,Contract,Semiurban,ELIGIBLE
APP0014,51,Male,No,Graduate,No,87589.0,15000.0,211368.0,240,Good,0.0,0.629,Contract,Rural,ELIGIBLE
APP0015,49,Male,Yes,Graduate,No,99649.0,16136.0,402892.0,480,Good,1.0,0.671,Contract,Rural,ELIGIBLE
APP0016,52,Male,No,Graduate,No,39969.0,8000.0,204913.0,360,Poor,2.0,0.95,Salaried,Urban,NOT_ELIGIBLE
APP0017,41,Female,Yes,Not Graduate,No,86252.0,17243.0,225322.0,240,Good,2.0,0.687,Self-Employed,Semiurban,NOT_ELIGIBLE
