Customer_ID,Age,Annual_Income,Total_Purchases,Average_Order_Value,Purchase_Frequency,Total_Spending,Discount_Usage,Online_Purchases,Store_Purchases,Customer_Class
1001,40,977454.24,99,3659.31,6.41,360214.6,6,18,81,HIGH_VALUE
1002,37,652910.18,48,2749.31,4.26,128189.34,9,9,39,REGULAR
1003,40,629549.38,69,2309.95,4.95,181124.68,0,21,48,HIGH_VALUE
1004,28,517294.43,37,3302.05,4.3,115339.23,18,7,30,REGULAR
1005,36,397736.22,18,1599.28,2.24,30710.95,20,0,18,LOW_VALUE
1006,55,923667.45,60,4465.59,5.87,305548.74,11,9,51,HIGH_VALUE
1007,34,1014744.76,101,3365.57,5.34,324674.86,7,26,75,HIGH_VALUE
1008,47,867739.21,94,2048.52,5.45,160086.1,9,9,85,HIGH_VALUE
1009,33,333392.01,17,1451.25,1.29,26415.14,26,3,14,LOW_VALUE
1010,30,452232.3,61,2263.94,3.79,127694.1,18,0,61,REGULAR
1011,38,478179.22,45,2321.17,3.46,113855.32,21,10,35,REGULAR
1012,46,638131.95,78,2661.61,5.95,213045.59,17,7,71,HIGH_VALUE
1013,37,432065.37,54,2195.46,4.25,89984.05,22,0,54,REGULAR
1014,36,944826.5,108,2837.55,5.41,313670.84,19,42,66,HIGH_VALUE
1015,41,354754.17,27,1769.64,3.7,45292.89,21,6,21,REGULAR
1016,35,326885.96,16,1721.16,1.56,25785.41,17,2,14,LOW_VALUE
1017,33,408910.19,47,1871.8,4.16,75449.35,22,9,38,REGULAR
1018,32,262820.04,19,1245.28,3.02,22617.72,27,2,17,LOW_VALUE
1019,56,1358879.03,66,3333.26,6.95,197102.77,8,0,66,HIGH_VALUE
1020,43,607695.81,24,2171.46,3.8,51125.25,11,0,24,REGULAR
1021,49,588479.11,87,4930.14,6.12,414453.56,11,16,71,HIGH_VALUE
1022,43,585134.03,38,3065.0,3.88,135895.89,14,0,38,REGULAR
1023,39,838378.63,78,4385.71,5.77,284205.81,10,15,63,HIGH_VALUE
