Car_ID,Age,Kilometers_Driven,Selling_Price,Present_Price,Fuel_Type,Transmission,Owner_Count,Engine_CC,Mileage,Service_History,Accident_History,Purchase_Suitability
1001,2,72153,482000.0,668000.0,Diesel,Manual,2,1754.0,22.9,Good,Yes,NOT_SUITABLE
1002,12,114319,196000.0,1134000.0,Petrol,Manual,2,806.0,16.7,Average,Yes,NOT_SUITABLE
1003,10,109887,194000.0,935000.0,CNG,Manual,4,1779.0,20.5,Good,Yes,NOT_SUITABLE
1004,7,86904,80000.0,250000.0,Petrol,Manual,3,1188.0,26.7,Poor,No,NOT_SUITABLE
1005,7,97927,239000.0,1030000.0,Diesel,Manual,3,939.0,24.0,Average,No,NOT_SUITABLE
1006,13,160465,102000.0,648000.0,Petrol,Manual,2,1263.0,20.3,Good,No,NOT_SUITABLE
1007,2,59993,945000.0,1296000.0,Diesel,Manual,2,1461.0,22.3,Good,Yes,SUITABLE
1008,11,130667,91000.0,630000.0,Petrol,Manual,1,1152.0,15.2,Good,No,NOT_SUITABLE
1009,4,25896,289000.0,627000.0,Diesel,Manual,2,1572.0,18.8,Good,Yes,SUITABLE
1010,2,56928,767000.0,1039000.0,Petrol,Manual,1,1117.0,25.5,Good,No,SUITABLE
1011,8,78449,213000.0,1117000.0,CNG,Automatic,1,1598.0,18.6,Average,No,NOT_SUITABLE
1012,15,115686,211000.0,1007000.0,Petrol,Manual,2,1527.0,16.4,Average,No,NOT_SUITABLE
1013,12,103681,80000.0,260000.0,Diesel,Manual,2,1326.0,18.7,Average,No,NOT_SUITABLE
1014,12,115649,210000.0,1038000.0,Diesel,Automatic,2,1173.0,16.8,Good,No,NOT_SUITABLE
1015,11,136650,80000.0,488000.0,CNG,Manual,2,1411.0,16.7,Average,Yes,NOT_SUITABLE
1016,12,93819,268000.0,932000.0,Petrol,Automatic,1,1570.0,18.8,Good,No,SUITABLE
1017,8,97674,80000.0,352000.0,Petrol,Automatic,2,2175.0,18.0,Poor,No,NOT_SUITABLE
1018,2,47348,856000.0,1006000.0,Petrol,Manual,2,1726.0,20.7,Good,No,SUITABLE
1019,13,122291,164000.0,568000.0,Petrol,Manual,3,1740.0,16.8,Good,No,NOT_SUITABLE
1020,7,112561,80000.0,401000.0,Diesel,Manual,3,2585.0,21.3,Good,No,NOT_SUITABLE
1021,8,108839,298000.0,1100000.0,CNG,Automatic,2,1556.0,19.8,Average,Yes,NOT_SUITABLE
1022,6,113423,246000.0,935000.0,CNG,Manual,2,1544.0,20.6,Good,Yes,NOT_SUITABLE
1023,3,61101,433000.0,635000.0,Petrol,Manual,2,1632.0,23.4,Average,No,SUITABLE
1024,14,120689,246000.0,1358000.0,Diesel,Manual,3,946.0,18.3,Average,No,NOT_SUITABLE
1025,12,118075,116000.0,696000.0,Diesel,Manual,4,1172.0,18.5,Average,No,NOT_SUITABLE
1026,10,115335,146000.0,861000.0,CNG,Automatic,2,1148.0,20.9,Good,Yes,NOT_SUITABLE
1027,7,94385,187000.0,944000.0,Petrol,Manual,1,1609.0,22.1,Good,No,SUITABLE
1028,13,105643,177000.0,633000.0,Petrol,Automatic,3,1280.0,18.4,Good,No,SUITABLE
1029,9,105491,191000.0,1015000.0,Diesel,Automatic,1,1405.0,20.2,Good,Yes,NOT_SUITABLE
1030,7,95521,80000.0,663000.0,Petrol,Manual,3,1785.0,18.8,Average,Yes,NOT_SUITABLE
1031,7,145884,164000.0,706000.0,Petrol,Manual,2,1695.0,18.7,Good,No,SUITABLE
1032,4,112291,630000.0,1327000.0,CNG,Automatic,1,1285.0,23.6,Good,No,SUITABLE
1033,2,39229,386000.0,486000.0,CNG,Automatic,3,1082.0,23.7,Good,No,SUITABLE
1034,9,97178,80000.0,250000.0,CNG,Automatic,1,1804.0,,Average,No,NOT_SUITABLE
1035,14,103804,242000.0,1414000.0,Diesel,Manual,1,1660.0,18.8,Good,No,NOT_SUITABLE
1036,1,38504,1432000.0,1742000.0,Petrol,Manual,2,800.0,23.3,Average,No,SUITABLE
1037,13,136443,88000.0,708000.0,Petrol,Manual,3,1225.0,20.3,Good,No,NOT_SUITABLE
1038,13,156029,80000.0,250000.0,Petrol,Automatic,2,1416.0,20.7,Poor,No,NOT_SUITABLE
1039,5,61460,292000.0,741000.0,Diesel,Manual,2,,23.3,Average,No,SUITABLE
1040,10,95609,131000.0,750000.0,Petrol,Manual,1,1714.0,19.3,Good,No,SUITABLE
1041,3,17260,442000.0,784000.0,Diesel,Manual,1,1464.0,25.2,Good,Yes,NOT_SUITABLE
1042,12,119421,80000.0,460000.0,Petrol,Manual,3,1584.0,19.4,Good,No,NOT_SUITABLE
1043,11,93127,133000.0,1053000.0,Diesel,Automatic,1,1376.0,20.8,Good,Yes,NOT_SUITABLE
1044,6,72352,,1034000.0,Petrol,Manual,2,1080.0,21.9,Good,No,SUITABLE
1045,2,38709,223000.0,327000.0,Petrol,Manual,1,1245.0,23.2,Poor,No,SUITABLE
1046,15,140426,213000.0,1095000.0,Petrol,Automatic,2,1358.0,16.4,Average,Yes,NOT_SUITABLE
1047,7,51830,220000.0,1568000.0,Petrol,Automatic,1,1336.0,22.4,Good,No,SUITABLE
1048,14,103725,229000.0,910000.0,Diesel,Manual,2,800.0,24.9,,No,NOT_SUITABLE
1049,11,163343,125000.0,732000.0,Petrol,Manual,2,1191.0,18.7,Good,No,NOT_SUITABLE
1050,12,94677,157000.0,800000.0,Petrol,Automatic,2,1372.0,19.2,Poor,No,NOT_SUITABLE
1051,12,98871,296000.0,1065000.0,Diesel,Automatic,2,1237.0,18.1,Good,No,NOT_SUITABLE
1052,3,104912,205000.0,250000.0,Diesel,Manual,2,1251.0,21.2,Average,No,SUITABLE
1053,6,147911,186000.0,908000.0,Petrol,Manual,2,1545.0,24.4,Average,No,SUITABLE
1054,8,71226,102000.0,713000.0,Petrol,Manual,1,918.0,19.2,Good,No,SUITABLE
1055,8,88899,255000.0,1497000.0,Petrol,Manual,2,800.0,19.7,Good,No,SUITABLE
1056,1,59014,693000.0,789000.0,Diesel,Automatic,1,1211.0,19.5,Good,No,SUITABLE
1057,9,141531,253000.0,1434000.0,Petrol,Manual,3,1656.0,18.3,Poor,No,NOT_SUITABLE
1058,3,42789,221000.0,464000.0,Petrol,Manual,4,2025.0,18.1,,No,SUITABLE
1059,12,117604,256000.0,1056000.0,Petrol,Automatic,2,1663.0,20.3,Average,No,NOT_SUITABLE
1060,11,133601,168000.0,962000.0,Diesel,Automatic,3,800.0,25.9,Average,No,NOT_SUITABLE
1061,14,145565,202000.0,546000.0,Petrol,Automatic,1,1257.0,17.6,Average,No,NOT_SUITABLE
1062,12,114725,168000.0,912000.0,Diesel,Manual,1,1453.0,15.3,Good,No,SUITABLE
1063,6,81056,362000.0,1274000.0,Petrol,Manual,2,1421.0,23.1,Average,No,SUITABLE
1064,15,112252,149000.0,737000.0,Diesel,Manual,4,1566.0,16.3,Average,No,NOT_SUITABLE
1065,7,85260,90000.0,258000.0,Petrol,Manual,3,983.0,23.9,Good,Yes,NOT_SUITABLE
1066,5,71639,216000.0,844000.0,Petrol,Manual,2,1376.0,20.9,Poor,Yes,NOT_SUITABLE
1067,14,141108,80000.0,534000.0,Petrol,Manual,2,1518.0,16.9,Good,No,SUITABLE
1068,6,71783,157000.0,730000.0,Diesel,Manual,1,1680.0,20.6,Good,No,SUITABLE
1069,2,68374,652000.0,821000.0,Diesel,Automatic,1,1028.0,24.4,Average,No,SUITABLE
1070,8,119280,80000.0,253000.0,Petrol,Automatic,1,1212.0,20.0,Good,Yes,SUITABLE
1071,12,126419,80000.0,285000.0,Petrol,Manual,1,800.0,18.3,Good,Yes,NOT_SUITABLE
1072,3,72239,523000.0,1019000.0,CNG,Manual,2,1101.0,21.9,Good,No,SUITABLE
1073,7,91669,80000.0,667000.0,Petrol,Manual,1,1140.0,18.1,Average,No,SUITABLE
1074,2,58002,102000.0,250000.0,Petrol,Manual,3,942.0,23.7,Average,No,SUITABLE
1075,11,100626,207000.0,1125000.0,Petrol,Manual,2,1416.0,15.4,Good,Yes,NOT_SUITABLE
1076,8,103963,,945000.0,Diesel,Manual,2,1328.0,,Good,Yes,NOT_SUITABLE
1077,5,75360,215000.0,600000.0,Diesel,Automatic,4,800.0,23.5,Good,No,SUITABLE
1078,4,117050,95000.0,389000.0,Diesel,Manual,2,1436.0,,Poor,No,NOT_SUITABLE
1079,9,138114,197000.0,1143000.0,CNG,Automatic,4,979.0,21.6,Good,No,SUITABLE
1080,11,124989,168000.0,972000.0,Petrol,Manual,1,1544.0,19.1,Poor,No,NOT_SUITABLE
1081,15,125713,397000.0,1684000.0,Petrol,Manual,2,837.0,20.9,Poor,Yes,NOT_SUITABLE
1082,7,66027,114000.0,997000.0,Petrol,Manual,1,1362.0,22.8,Good,No,SUITABLE
1083,3,90705,577000.0,986000.0,Petrol,Manual,1,1237.0,23.2,Average,No,SUITABLE
1084,13,135280,219000.0,792000.0,Petrol,Manual,2,1471.0,20.7,Average,No,NOT_SUITABLE
1085,10,120563,225000.0,1136000.0,Petrol,Automatic,1,1400.0,,Average,No,NOT_SUITABLE
1086,11,78119,218000.0,1069000.0,Petrol,Manual,1,1248.0,18.5,Good,Yes,SUITABLE
1087,2,78404,894000.0,1288000.0,Diesel,Manual,3,800.0,19.9,Average,No,SUITABLE
1088,5,87497,241000.0,668000.0,Petrol,Manual,1,800.0,22.7,Average,Yes,NOT_SUITABLE
1089,12,98571,161000.0,698000.0,Petrol,Manual,2,1116.0,20.4,Average,No,NOT_SUITABLE
1090,13,119126,86000.0,682000.0,Diesel,Manual,2,1347.0,21.1,Poor,No,NOT_SUITABLE
1091,7,96302,242000.0,1127000.0,Diesel,Manual,2,1107.0,18.9,Good,No,SUITABLE
1092,13,130654,186000.0,1374000.0,Diesel,Automatic,2,1600.0,16.6,Average,No,NOT_SUITABLE
1093,13,123072,139000.0,689000.0,Diesel,Manual,4,1238.0,19.8,Poor,No,NOT_SUITABLE
1094,6,81723,174000.0,701000.0,Diesel,Manual,1,964.0,21.2,Good,No,NOT_SUITABLE
1095,14,130456,145000.0,960000.0,Petrol,Manual,3,1239.0,14.3,Good,No,NOT_SUITABLE
1096,5,80856,263000.0,764000.0,Petrol,Automatic,2,1440.0,22.3,Good,No,SUITABLE
1097,4,103373,468000.0,1183000.0,Diesel,Manual,3,1480.0,17.7,Poor,No,NOT_SUITABLE
1098,11,60034,80000.0,250000.0,Petrol,Manual,2,2101.0,16.9,Good,No,NOT_SUITABLE
1099,10,104789,85000.0,561000.0,Petrol,Manual,1,1082.0,22.9,Average,Yes,NOT_SUITABLE
1100,3,68383,264000.0,576000.0,Petrol,Manual,1,1321.0,26.2,Good,Yes,SUITABLE
1101,13,136012,80000.0,250000.0,Petrol,Manual,2,1520.0,15.9,Good,No,NOT_SUITABLE
1102,3,56318,247000.0,513000.0,Petrol,Automatic,1,1341.0,21.5,Average,No,SUITABLE
1103,13,90852,127000.0,530000.0,Petrol,Manual,1,1150.0,18.9,Good,No,SUITABLE
1104,1,58716,564000.0,780000.0,Diesel,Automatic,1,800.0,27.1,Poor,Yes,NOT_SUITABLE
1105,12,161002,198000.0,1240000.0,CNG,Manual,2,1146.0,18.1,Good,No,NOT_SUITABLE
1106,12,89255,,764000.0,Petrol,Automatic,1,921.0,18.2,Poor,No,NOT_SUITABLE
1107,12,142004,148000.0,489000.0,CNG,Automatic,2,800.0,22.8,Good,No,NOT_SUITABLE
1108,10,102772,164000.0,830000.0,Petrol,Manual,1,1032.0,19.1,Poor,Yes,NOT_SUITABLE
1109,8,95651,210000.0,1217000.0,CNG,Manual,1,931.0,22.3,Average,No,SUITABLE
1110,11,93336,114000.0,508000.0,CNG,Manual,2,1584.0,16.0,Good,No,SUITABLE
1111,5,70142,122000.0,531000.0,Petrol,Automatic,4,1590.0,21.0,Good,No,SUITABLE
1112,12,151601,186000.0,1045000.0,Diesel,Manual,2,988.0,15.6,Good,No,NOT_SUITABLE
1113,9,116318,229000.0,772000.0,CNG,Manual,1,1246.0,17.8,Average,Yes,NOT_SUITABLE
1114,7,128611,200000.0,1077000.0,CNG,Manual,2,800.0,23.0,Average,No,NOT_SUITABLE
1115,8,122903,155000.0,845000.0,CNG,Automatic,1,1152.0,,Good,No,SUITABLE
1116,9,113160,222000.0,1096000.0,Diesel,Manual,1,1510.0,19.3,Good,No,SUITABLE
1117,1,89867,463000.0,488000.0,Petrol,Manual,1,1680.0,21.1,Average,No,SUITABLE
1118,3,74158,418000.0,846000.0,Diesel,Automatic,1,1065.0,21.9,Average,No,SUITABLE
1119,4,89216,278000.0,776000.0,Diesel,Manual,3,,22.3,Average,No,SUITABLE
1120,2,51475,316000.0,424000.0,Diesel,Automatic,2,800.0,25.0,Good,Yes,SUITABLE
1121,7,91964,80000.0,303000.0,Petrol,Manual,1,851.0,15.3,Average,No,SUITABLE
1122,11,101157,255000.0,1090000.0,Diesel,Manual,1,,17.4,Poor,No,NOT_SUITABLE
1123,10,131771,117000.0,727000.0,Petrol,Automatic,1,2018.0,19.7,Good,No,NOT_SUITABLE
1124,8,71077,80000.0,492000.0,Diesel,Manual,1,,20.1,Good,No,SUITABLE
1125,13,146712,90000.0,816000.0,Petrol,Manual,1,1334.0,19.6,Good,No,NOT_SUITABLE
1126,9,99306,100000.0,1245000.0,Diesel,Manual,1,800.0,21.0,Average,No,SUITABLE
1127,2,83767,173000.0,250000.0,Diesel,Manual,2,800.0,22.2,Good,No,SUITABLE
1128,12,139519,80000.0,326000.0,Petrol,Manual,1,1402.0,17.9,Poor,No,NOT_SUITABLE
1129,9,143554,80000.0,527000.0,Petrol,Manual,1,1207.0,19.6,Average,No,NOT_SUITABLE
1130,10,126077,294000.0,1361000.0,Petrol,Manual,2,,22.5,Average,Yes,NOT_SUITABLE
1131,9,68915,225000.0,949000.0,CNG,Manual,2,1376.0,18.5,Average,No,NOT_SUITABLE
1132,9,102027,,1119000.0,Diesel,Manual,1,1396.0,19.9,Good,No,SUITABLE
1133,2,32216,241000.0,451000.0,Petrol,Manual,2,1728.0,22.7,Average,Yes,NOT_SUITABLE
1134,9,92098,110000.0,458000.0,Petrol,Manual,1,1405.0,23.5,Good,No,SUITABLE
1135,12,156247,206000.0,1007000.0,Petrol,Manual,1,1841.0,18.1,Average,No,NOT_SUITABLE
1136,5,91526,318000.0,870000.0,Petrol,Automatic,3,1353.0,23.6,Poor,No,NOT_SUITABLE
1137,10,94624,232000.0,1042000.0,CNG,Manual,2,1304.0,22.5,Average,No,NOT_SUITABLE
1138,1,29198,579000.0,784000.0,Diesel,Manual,2,1776.0,22.5,Poor,No,SUITABLE
1139,6,84721,308000.0,947000.0,Petrol,Manual,2,959.0,20.9,Good,No,SUITABLE
1140,7,63736,120000.0,905000.0,Diesel,Automatic,1,2476.0,19.5,Average,No,NOT_SUITABLE
1141,15,127735,236000.0,1122000.0,Petrol,Manual,2,1500.0,17.4,Average,No,NOT_SUITABLE
1142,4,77864,452000.0,1132000.0,Diesel,Manual,2,1502.0,23.6,,No,SUITABLE
1143,5,102917,80000.0,283000.0,Petrol,Manual,3,1560.0,21.9,Good,No,SUITABLE
1144,7,103893,113000.0,250000.0,Diesel,Manual,3,2101.0,20.9,Good,No,SUITABLE
1145,15,92092,204000.0,1201000.0,CNG,Automatic,1,1667.0,15.3,Average,No,NOT_SUITABLE
1146,13,136196,266000.0,1266000.0,Petrol,Automatic,2,800.0,16.9,Good,Yes,NOT_SUITABLE
1147,1,53085,464000.0,493000.0,Diesel,Manual,2,1911.0,27.3,Average,No,SUITABLE
1148,4,80106,117000.0,250000.0,CNG,Automatic,1,1214.0,21.5,Average,No,SUITABLE
1149,13,165057,221000.0,885000.0,Petrol,Manual,2,,17.0,Poor,No,NOT_SUITABLE
1150,1,6109,987000.0,1176000.0,Petrol,Manual,3,838.0,26.3,Good,No,SUITABLE
1151,13,116496,186000.0,1479000.0,Diesel,Automatic,1,1560.0,19.2,Poor,Yes,NOT_SUITABLE
1152,5,90500,330000.0,1031000.0,Petrol,Manual,2,1089.0,22.9,Good,No,SUITABLE
1153,14,101205,154000.0,720000.0,Petrol,Manual,2,1390.0,18.0,Good,No,NOT_SUITABLE
1154,5,109971,171000.0,537000.0,Petrol,Manual,2,1236.0,20.9,Average,Yes,SUITABLE
1155,7,98604,83000.0,854000.0,Diesel,Automatic,2,2120.0,20.0,Good,No,SUITABLE
1156,10,128625,102000.0,745000.0,Petrol,Manual,1,2143.0,16.3,,No,NOT_SUITABLE
1157,2,45439,330000.0,495000.0,Petrol,Manual,3,1369.0,22.3,Good,No,SUITABLE
1158,9,121403,266000.0,1567000.0,Diesel,Manual,2,1376.0,20.7,Average,No,NOT_SUITABLE
1159,8,120506,204000.0,1475000.0,Petrol,Manual,1,1201.0,24.6,Average,No,NOT_SUITABLE
1160,12,128123,196000.0,1248000.0,Diesel,Manual,1,1792.0,,Good,No,SUITABLE
1161,15,147657,80000.0,528000.0,Petrol,Automatic,1,1218.0,12.9,Good,No,NOT_SUITABLE
1162,10,115948,242000.0,1149000.0,CNG,Automatic,2,,19.6,Average,No,SUITABLE
1163,7,71506,262000.0,1074000.0,Diesel,Automatic,2,1741.0,26.6,Good,No,SUITABLE
1164,7,87254,174000.0,1005000.0,Petrol,Automatic,1,1135.0,22.8,Average,No,NOT_SUITABLE
1165,7,87145,214000.0,1287000.0,Diesel,Manual,1,1335.0,19.0,Poor,No,NOT_SUITABLE
1166,13,137935,199000.0,1072000.0,Petrol,Manual,1,800.0,20.3,Average,No,NOT_SUITABLE
1167,5,99496,345000.0,1109000.0,Petrol,Manual,4,1632.0,19.7,Poor,No,NOT_SUITABLE
1168,3,41212,670000.0,1073000.0,Petrol,Manual,2,2126.0,18.8,Average,Yes,NOT_SUITABLE
1169,6,81250,215000.0,969000.0,Diesel,Automatic,3,1638.0,20.2,Average,No,SUITABLE
1170,1,84092,186000.0,250000.0,Petrol,Manual,1,1935.0,22.8,Good,No,SUITABLE
1171,2,41641,505000.0,879000.0,Petrol,Automatic,1,1012.0,18.6,Good,No,SUITABLE
1172,2,39910,440000.0,655000.0,Petrol,Manual,1,1445.0,20.0,Average,No,SUITABLE
1173,12,127451,105000.0,402000.0,Petrol,Manual,4,973.0,19.3,Good,No,SUITABLE
1174,11,135076,188000.0,1439000.0,Petrol,Manual,2,1259.0,18.6,Poor,Yes,NOT_SUITABLE
1175,11,116751,263000.0,1455000.0,Petrol,Manual,2,1659.0,20.1,Average,No,SUITABLE
1176,7,119737,229000.0,1326000.0,Petrol,Manual,1,1391.0,18.1,Poor,No,NOT_SUITABLE
1177,11,135349,184000.0,939000.0,Petrol,Manual,2,800.0,21.3,Good,Yes,NOT_SUITABLE
1178,3,83020,826000.0,1323000.0,Diesel,Manual,2,824.0,19.9,Good,No,SUITABLE
1179,14,148191,88000.0,854000.0,Petrol,Automatic,1,800.0,22.3,Average,Yes,NOT_SUITABLE
1180,8,148208,109000.0,921000.0,Diesel,Manual,3,1547.0,16.6,Good,No,NOT_SUITABLE
1181,15,137986,85000.0,467000.0,Petrol,Manual,3,2176.0,,Average,No,NOT_SUITABLE
1182,3,20423,660000.0,989000.0,Petrol,Automatic,3,1895.0,22.8,Average,Yes,NOT_SUITABLE
1183,8,132294,80000.0,871000.0,Petrol,Manual,1,800.0,24.4,Poor,No,NOT_SUITABLE
1184,11,106431,86000.0,394000.0,Petrol,Automatic,2,1918.0,19.8,Average,No,NOT_SUITABLE
1185,8,99373,203000.0,832000.0,Petrol,Automatic,1,1725.0,21.5,Good,No,NOT_SUITABLE
1186,7,119310,141000.0,822000.0,Diesel,Manual,1,800.0,21.1,Good,No,SUITABLE
1187,3,29250,990000.0,1479000.0,Petrol,Manual,2,1229.0,20.0,Average,No,SUITABLE
1188,6,56464,221000.0,1163000.0,Petrol,Manual,3,1788.0,19.8,Good,No,NOT_SUITABLE
1189,4,35772,419000.0,854000.0,Diesel,Automatic,1,1570.0,19.1,Good,No,SUITABLE
1190,5,60029,316000.0,937000.0,Petrol,Automatic,2,826.0,19.0,Good,No,SUITABLE
1191,11,126172,80000.0,865000.0,Petrol,Automatic,2,1594.0,20.1,Good,No,SUITABLE
1192,10,121532,183000.0,779000.0,Petrol,Manual,1,800.0,17.6,Average,No,NOT_SUITABLE
1193,10,116078,80000.0,471000.0,Petrol,Manual,2,1261.0,20.5,Good,No,SUITABLE
1194,6,52919,179000.0,797000.0,Petrol,Manual,3,1805.0,18.0,Average,No,NOT_SUITABLE
1195,15,91678,80000.0,589000.0,Diesel,Automatic,2,1357.0,18.6,Good,No,NOT_SUITABLE
1196,2,59196,217000.0,412000.0,CNG,Manual,3,1150.0,21.6,Average,No,SUITABLE
1197,6,73621,240000.0,1029000.0,Petrol,Manual,1,1706.0,24.0,Good,No,SUITABLE
1198,2,68106,643000.0,987000.0,Diesel,Manual,2,1740.0,23.0,Poor,No,NOT_SUITABLE
1199,6,99443,80000.0,250000.0,Diesel,Automatic,4,1874.0,23.6,Good,No,SUITABLE
1200,15,145541,166000.0,807000.0,Petrol,Automatic,3,1700.0,16.1,Average,No,NOT_SUITABLE
1201,6,100723,328000.0,1198000.0,Diesel,Manual,1,1783.0,21.0,Good,Yes,NOT_SUITABLE
1202,14,141043,231000.0,1221000.0,Diesel,Manual,1,1643.0,16.0,,Yes,NOT_SUITABLE
1203,8,108661,289000.0,1209000.0,CNG,Manual,1,1456.0,19.5,Good,No,SUITABLE
1204,11,100997,107000.0,864000.0,CNG,Manual,2,1386.0,18.8,Average,Yes,NOT_SUITABLE
1205,7,86549,97000.0,554000.0,Petrol,Manual,2,1255.0,19.3,Poor,Yes,NOT_SUITABLE
1206,4,75329,281000.0,471000.0,Petrol,Manual,1,865.0,19.4,Good,No,SUITABLE
1207,12,141052,232000.0,971000.0,Petrol,Manual,1,968.0,16.2,Good,No,NOT_SUITABLE
1208,15,133838,113000.0,983000.0,Petrol,Manual,3,1237.0,12.9,Average,No,NOT_SUITABLE
1209,4,82466,625000.0,1301000.0,Petrol,Manual,2,1447.0,19.5,Average,No,SUITABLE
1210,12,117152,283000.0,1235000.0,CNG,Manual,1,1926.0,20.1,Good,No,SUITABLE
1211,4,68414,427000.0,804000.0,Petrol,Automatic,1,1333.0,18.3,Average,No,SUITABLE
1212,11,134749,83000.0,415000.0,Petrol,Manual,3,1751.0,16.2,Average,No,NOT_SUITABLE
1213,12,79153,123000.0,738000.0,Diesel,Automatic,1,1782.0,22.7,Average,Yes,SUITABLE
1214,7,61978,149000.0,926000.0,Petrol,Manual,1,1257.0,19.5,Good,No,SUITABLE
1215,12,90392,153000.0,779000.0,Petrol,Manual,2,1588.0,19.6,Good,No,SUITABLE
1216,5,26160,249000.0,648000.0,CNG,Manual,3,1253.0,23.0,Good,No,SUITABLE
1217,2,43078,692000.0,939000.0,Petrol,Manual,3,1879.0,23.7,Average,No,SUITABLE
1218,2,74488,502000.0,674000.0,Petrol,Manual,3,1604.0,19.1,Good,Yes,SUITABLE
1219,7,84233,102000.0,630000.0,Petrol,Manual,2,874.0,20.6,,No,SUITABLE
1220,14,140351,197000.0,959000.0,CNG,Automatic,3,1415.0,14.8,Average,No,NOT_SUITABLE
1221,2,81963,683000.0,709000.0,Petrol,Manual,2,2009.0,27.6,Average,No,SUITABLE
1222,7,119709,88000.0,935000.0,Petrol,Manual,1,1278.0,17.3,Good,No,SUITABLE
1223,11,114979,185000.0,946000.0,Petrol,Manual,1,1529.0,17.0,Good,No,SUITABLE
1224,4,100779,146000.0,451000.0,Petrol,Manual,1,1568.0,19.4,Good,Yes,NOT_SUITABLE
1225,11,118527,149000.0,682000.0,CNG,Automatic,2,935.0,,Average,No,NOT_SUITABLE
1226,5,59077,420000.0,1353000.0,Petrol,Automatic,1,1554.0,24.4,Poor,No,SUITABLE
1227,13,116423,114000.0,443000.0,CNG,Manual,2,800.0,24.3,Good,No,NOT_SUITABLE
1228,9,70928,98000.0,250000.0,Petrol,Manual,1,1100.0,19.2,Poor,No,NOT_SUITABLE
1229,9,83961,80000.0,250000.0,Petrol,Manual,1,1780.0,17.0,Good,No,NOT_SUITABLE
1230,3,56624,551000.0,860000.0,Diesel,Manual,1,1493.0,17.2,Good,No,SUITABLE
1231,7,108179,80000.0,861000.0,Petrol,Automatic,2,1228.0,20.3,Good,No,SUITABLE
1232,13,167357,217000.0,809000.0,Petrol,Automatic,1,1529.0,17.9,Average,No,NOT_SUITABLE
1233,1,21092,1092000.0,1275000.0,Diesel,Manual,4,1326.0,21.5,Good,Yes,NOT_SUITABLE
1234,12,131642,94000.0,250000.0,Petrol,Manual,1,1355.0,19.5,Good,No,SUITABLE
1235,8,74108,123000.0,989000.0,Petrol,Manual,2,1613.0,21.2,Average,No,SUITABLE
1236,11,126943,214000.0,1397000.0,CNG,Manual,1,1059.0,20.3,Average,No,NOT_SUITABLE
1237,10,107116,,455000.0,Petrol,Manual,1,1366.0,19.0,Good,No,SUITABLE
